store_id,manager_id,prod_cat_id,prod_cat_desc,inventory
978,17892,10001,Animal Food,53
978,17892,10002,Safety & Emergency,106
978,17892,10003,Men's Clothing,30
978,17892,10004,Women's Clothing,32
978,17892,10005,Computer Components,44
978,17892,10006,Electronic Accessories,59
978,17892,10007,Food & Beverages,91
978,17892,10008,Alcoholic Beverages,21
978,17892,10009,Medicine & Supplements,46
978,17892,10010,Beauty & Personal Care,20
978,17892,10011,Home Decorations,21
978,17892,10012,Jewelry,15
978,17892,10013,Music,42
978,17892,10014,Toys,13
978,17892,10015,Optical,33
978,17892,10016,Outdoor Cooking,11
978,17892,10017,Fuels & Lubricants,34
978,17892,10018,Baby Food,22
978,17892,10019,Art & Craft,55
649,29830,10001,Animal Food,90
649,29830,10002,Safety & Emergency,78
649,29830,10003,Men's Clothing,78
649,29830,10004,Women's Clothing,90
649,29830,10005,Computer Components,31
649,29830,10006,Electronic Accessories,38
649,29830,10007,Food & Beverages,94
649,29830,10008,Alcoholic Beverages,20
649,29830,10009,Medicine & Supplements,41
649,29830,10010,Beauty & Personal Care,3
649,29830,10011,Home Decorations,5
649,29830,10012,Jewelry,2
649,29830,10013,Music,47
649,29830,10014,Toys,32
649,29830,10015,Safety & Emergency,46
649,29830,10016,Outdoor Cooking,35
649,29830,10017,Fuels & Lubricants,35
649,29830,10018,Baby Food,31
649,29830,10019,Art & Craft,12
