timestamp,avg_rating
02/17/2008,4.29
02/18/2008,4.12
02/19/2008,4.35
02/20/2008,4.41
02/21/2008,4.22
02/22/2008,4.14
02/23/2008,4.45
02/24/2008,4.3
02/25/2008,4.33
02/26/2008,4.32
02/27/2008,4.14
02/28/2008,4.3
02/29/2008,4.39
03/01/2008,4.15
03/02/2008,4.3
03/03/2008,4.35
03/04/2008,4.27
03/05/2008,4.3
03/06/2008,4.36
03/07/2008,4.28
03/08/2008,4.28
03/09/2008,4.21
03/10/2008,4.27
03/11/2008,4.25
03/12/2008,4.44
03/13/2008,4.25
03/14/2008,4.21
03/15/2008,4.32
03/16/2008,4.14
03/17/2008,4.09
03/18/2008,4.26
03/19/2008,4.23
03/20/2008,4.15
03/21/2008,4.14
03/22/2008,4.38
03/23/2008,4.25
03/24/2008,4.36
03/25/2008,4.33
03/26/2008,4.13
03/27/2008,4.27
03/28/2008,4.51
03/29/2008,4.2
03/30/2008,4.21
03/31/2008,4.17
04/01/2008,3.98
04/02/2008,4.21
04/03/2008,4.26
04/04/2008,4.27
04/05/2008,4.23
04/06/2008,4.12
04/07/2008,4.23
04/08/2008,4.28
04/09/2008,4.11
04/10/2008,4.11
04/11/2008,4.32
04/12/2008,4.3
04/13/2008,4.2
04/14/2008,4.23
04/15/2008,4.21
04/16/2008,4.21
04/17/2008,4.29
04/18/2008,4.28
04/19/2008,4.21
04/20/2008,4.18
04/21/2008,4.25
04/22/2008,4.25
04/23/2008,4.2
04/24/2008,4.25
04/25/2008,4.2
04/26/2008,4.31
04/27/2008,4.27
04/28/2008,4.38
04/29/2008,4.28
04/30/2008,4.35
05/01/2008,4.18
05/02/2008,4.26
05/03/2008,4.21
05/04/2008,4.38
05/05/2008,4.4
05/06/2008,4.39
05/07/2008,4.28
05/08/2008,4.2
05/09/2008,4.29
05/10/2008,4.32
05/11/2008,4.01
05/12/2008,4.12
05/13/2008,4.17
05/14/2008,4.28
05/15/2008,4.06
05/16/2008,4.34
05/17/2008,4.36
05/18/2008,4.13
05/19/2008,4.08
05/20/2008,4.24
05/21/2008,3.1
05/22/2008,2.98
05/23/2008,3.18
05/24/2008,4
05/25/2008,4.29
05/26/2008,4.19
05/27/2008,4.2
05/28/2008,4.32
05/29/2008,4.26
05/30/2008,4.2
05/31/2008,4.34
06/01/2008,4.27
06/02/2008,4.22
